api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/auth/apple/link,app/api/auth/apple/link/route.ts,public,covered,1,app/auth/callback/page.tsx
/api/auth/check-email,app/api/auth/check-email/route.ts,public,covered,1,app/components/autenticação/AuthModal.tsx
/api/auth/clear,app/api/auth/clear/route.ts,public,covered,1,app/components/autenticação/AuthModal.tsx
/api/auth/login,app/api/auth/login/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/auth/logout,app/api/auth/logout/route.ts,public,covered,5,app/admin/components/AdminLayout.tsx; app/admin/forbidden/ForbiddenClient.tsx; app/components/Navbar.tsx; app/me/settings/page.tsx; app/org/_internal/core/OrganizationTopBar.tsx
/api/auth/me,app/api/auth/me/route.ts,public,covered,3,app/components/autenticação/AuthModal.tsx; app/hooks/useUser.ts; app/org/_internal/core/(dashboard)/tournaments/[id]/finance/page.tsx
/api/auth/password/reset-request,app/api/auth/password/reset-request/route.ts,public,covered,1,app/components/autenticação/AuthModal.tsx
/api/auth/refresh,app/api/auth/refresh/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/auth/send-otp,app/api/auth/send-otp/route.ts,public,covered,2,app/components/autenticação/AuthModal.tsx; app/components/checkout/AuthWall.tsx
/api/checkout/resale,app/api/checkout/resale/route.ts,public,covered,1,app/resale/[id]/page.tsx
/api/checkout/status,app/api/checkout/status/route.ts,public,covered,2,app/components/checkout/Step3Sucesso.tsx; apps/mobile/features/checkout/api.ts
/api/cobrancas/[token],app/api/cobrancas/[token]/route.ts,public,covered,1,app/cobrancas/[token]/ChargeClient.tsx
/api/cobrancas/[token]/checkout,app/api/cobrancas/[token]/checkout/route.ts,public,covered,1,app/cobrancas/[token]/ChargeClient.tsx
/api/convites/[token],app/api/convites/[token]/route.ts,public,covered,1,app/convites/[token]/InviteClient.tsx
/api/convites/[token]/checkout,app/api/convites/[token]/checkout/route.ts,public,covered,1,app/convites/[token]/InviteClient.tsx
/api/crm/engagement,app/api/crm/engagement/route.ts,public,covered,2,app/components/crm/CrmEngagementTracker.tsx; apps/mobile/lib/crm.ts
/api/cron/analytics/rollup,app/api/cron/analytics/rollup/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/bookings/cleanup,app/api/cron/bookings/cleanup/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/creditos/expire,app/api/cron/creditos/expire/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/crm/campanhas,app/api/cron/crm/campanhas/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/crm/rebuild,app/api/cron/crm/rebuild/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/entitlements/qr-cleanup,app/api/cron/entitlements/qr-cleanup/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/loyalty/expire,app/api/cron/loyalty/expire/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/operations,app/api/cron/operations/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/expire,app/api/cron/padel/expire/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/matchmaking,app/api/cron/padel/matchmaking/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/partnership-grants/revoke,app/api/cron/padel/partnership-grants/revoke/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/reminders,app/api/cron/padel/reminders/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/split-reminders,app/api/cron/padel/split-reminders/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/tournament-eve,app/api/cron/padel/tournament-eve/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/padel/waitlist,app/api/cron/padel/waitlist/route.ts,cron,exempt,1,lib/cron/jobs.ts
/api/cron/repair-usernames,app/api/cron/repair-usernames/route.ts,cron,exempt,1,lib/cron/jobs.ts
