api_route,api_file,api_type,ui_status,ui_file_count,ui_files
/api/chat/conversations/[conversationId]/read,app/api/chat/conversations/[conversationId]/read/route.ts,public,covered,2,app/organizacao/(dashboard)/chat/ChatInternoV2Client.tsx; app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
/api/chat/conversations/[conversationId]/threads/[messageId],app/api/chat/conversations/[conversationId]/threads/[messageId]/route.ts,public,orphan,0,
/api/chat/messages,app/api/chat/messages/route.ts,public,covered,2,app/organizacao/(dashboard)/chat/ChatInternoV2Client.tsx; app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
/api/chat/messages/[messageId],app/api/chat/messages/[messageId]/route.ts,public,covered,2,app/organizacao/(dashboard)/chat/ChatInternoV2Client.tsx; app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
/api/chat/messages/[messageId]/pins,app/api/chat/messages/[messageId]/pins/route.ts,public,covered,1,app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
/api/chat/messages/[messageId]/reactions,app/api/chat/messages/[messageId]/reactions/route.ts,public,covered,2,app/organizacao/(dashboard)/chat/ChatInternoV2Client.tsx; app/organizacao/(dashboard)/chat/preview/useChatPreviewData.ts
/api/chat/messages/[messageId]/report,app/api/chat/messages/[messageId]/report/route.ts,public,orphan,0,
/api/chat/search,app/api/chat/search/route.ts,public,covered,1,app/organizacao/(dashboard)/chat/ChatInternoV2Client.tsx
/api/checkout/resale,app/api/checkout/resale/route.ts,public,covered,1,app/resale/[id]/page.tsx
/api/checkout/status,app/api/checkout/status/route.ts,public,covered,1,app/components/checkout/Step3Sucesso.tsx
/api/cron/bookings/cleanup,app/api/cron/bookings/cleanup/route.ts,cron,exempt,0,
/api/cron/chat/maintenance,app/api/cron/chat/maintenance/route.ts,cron,exempt,0,
/api/cron/creditos/expire,app/api/cron/creditos/expire/route.ts,cron,exempt,0,
/api/cron/crm/campanhas,app/api/cron/crm/campanhas/route.ts,cron,exempt,0,
/api/cron/crm/rebuild,app/api/cron/crm/rebuild/route.ts,cron,exempt,0,
/api/cron/loyalty/expire,app/api/cron/loyalty/expire/route.ts,cron,exempt,0,
/api/cron/operations,app/api/cron/operations/route.ts,cron,exempt,0,
/api/cron/padel/expire,app/api/cron/padel/expire/route.ts,cron,exempt,0,
/api/cron/padel/reminders,app/api/cron/padel/reminders/route.ts,cron,exempt,0,
/api/cron/padel/tournament-eve,app/api/cron/padel/tournament-eve/route.ts,cron,exempt,0,
/api/cron/payouts/release,app/api/cron/payouts/release/route.ts,cron,exempt,0,
/api/cron/reservations/cleanup,app/api/cron/reservations/cleanup/route.ts,cron,exempt,0,
/api/email/verified,app/api/email/verified/route.ts,public,orphan,0,
/api/eventos/[slug]/invite-token,app/api/eventos/[slug]/invite-token/route.ts,public,covered,1,app/eventos/[slug]/InviteGateClient.tsx
/api/eventos/[slug]/invites/check,app/api/eventos/[slug]/invites/check/route.ts,public,covered,1,app/eventos/[slug]/InviteGateClient.tsx
/api/eventos/[slug]/resales,app/api/eventos/[slug]/resales/route.ts,public,orphan,0,
/api/eventos/list,app/api/eventos/list/route.ts,public,covered,1,app/eventos/page.tsx
/api/explorar/list,app/api/explorar/list/route.ts,public,covered,2,app/components/Navbar.tsx; app/explorar/_components/ExplorarContent.tsx
/api/geo/autocomplete,app/api/geo/autocomplete/route.ts,public,covered,1,lib/geo/client.ts
/api/geo/details,app/api/geo/details/route.ts,public,covered,1,lib/geo/client.ts
/api/geo/reverse,app/api/geo/reverse/route.ts,public,covered,1,lib/geo/client.ts
/api/inscricoes/[id]/submit,app/api/inscricoes/[id]/submit/route.ts,public,covered,1,app/inscricoes/[id]/FormSubmissionClient.tsx
/api/internal/analytics/rollup,app/api/internal/analytics/rollup/route.ts,internal,exempt,0,
/api/internal/audit,app/api/internal/audit/route.ts,internal,exempt,0,
/api/internal/chat/backfill,app/api/internal/chat/backfill/route.ts,internal,exempt,0,
/api/internal/checkin/consume,app/api/internal/checkin/consume/route.ts,internal,exempt,0,
/api/internal/checkout/timeline,app/api/internal/checkout/timeline/route.ts,internal,exempt,0,
/api/internal/crm/ingest,app/api/internal/crm/ingest/route.ts,internal,exempt,0,
/api/internal/crm/rebuild,app/api/internal/crm/rebuild/route.ts,internal,exempt,0,
/api/internal/notifications/sweep,app/api/internal/notifications/sweep/route.ts,internal,exempt,0,
/api/internal/ops/dashboard,app/api/internal/ops/dashboard/route.ts,internal,exempt,0,
/api/internal/ops/feed,app/api/internal/ops/feed/route.ts,internal,exempt,0,
/api/internal/ops/health,app/api/internal/ops/health/route.ts,internal,exempt,0,
/api/internal/ops/outbox/replay,app/api/internal/ops/outbox/replay/route.ts,internal,exempt,0,
/api/internal/ops/outbox/summary,app/api/internal/ops/outbox/summary/route.ts,internal,exempt,0,
/api/internal/ops/slo,app/api/internal/ops/slo/route.ts,internal,exempt,0,
/api/internal/outbox/dlq,app/api/internal/outbox/dlq/route.ts,internal,exempt,0,
/api/internal/outbox/replay,app/api/internal/outbox/replay/route.ts,internal,exempt,0,
/api/internal/padel/registrations/backfill,app/api/internal/padel/registrations/backfill/route.ts,internal,exempt,0,
/api/internal/public-api/keys,app/api/internal/public-api/keys/route.ts,internal,exempt,0,
/api/internal/reconcile,app/api/internal/reconcile/route.ts,internal,exempt,0,
/api/internal/reprocess/payment-intent,app/api/internal/reprocess/payment-intent/route.ts,internal,exempt,0,
/api/internal/reprocess/purchase,app/api/internal/reprocess/purchase/route.ts,internal,exempt,0,
/api/internal/reprocess/stripe-event,app/api/internal/reprocess/stripe-event/route.ts,internal,exempt,0,
/api/internal/worker/operations,app/api/internal/worker/operations/route.ts,internal,exempt,0,
/api/livehub/[slug],app/api/livehub/[slug]/route.ts,public,covered,1,app/eventos/[slug]/EventLiveClient.tsx
/api/location/ip,app/api/location/ip/route.ts,public,orphan,0,
/api/maps/apple-token,app/api/maps/apple-token/route.ts,public,covered,1,app/components/maps/AppleMapsLoader.tsx
/api/me,app/api/me/route.ts,public,orphan,0,
/api/me/agenda,app/api/me/agenda/route.ts,public,covered,4,app/agora/page.tsx; app/components/home/HomePersonalized.tsx; app/me/carteira/WalletHubClient.tsx; app/me/page.tsx
/api/me/claim-guest,app/api/me/claim-guest/route.ts,public,covered,2,app/auth/callback/page.tsx; app/hooks/useUser.ts
/api/me/consents,app/api/me/consents/route.ts,public,covered,1,app/me/settings/page.tsx
/api/me/contact-phone,app/api/me/contact-phone/route.ts,public,covered,1,app/[username]/_components/ReservasBookingClient.tsx
/api/me/creditos,app/api/me/creditos/route.ts,public,orphan,0,
/api/me/inscricoes,app/api/me/inscricoes/route.ts,public,orphan,0,
/api/me/inscricoes/[id],app/api/me/inscricoes/[id]/route.ts,public,orphan,0,
/api/me/location/consent,app/api/me/location/consent/route.ts,public,orphan,0,
/api/me/loyalty/carteira,app/api/me/loyalty/carteira/route.ts,public,orphan,0,
/api/me/loyalty/recompensas,app/api/me/loyalty/recompensas/route.ts,public,covered,1,app/me/carteira/WalletHubClient.tsx
/api/me/loyalty/recompensas/[rewardId]/resgatar,app/api/me/loyalty/recompensas/[rewardId]/resgatar/route.ts,public,covered,1,app/me/carteira/WalletHubClient.tsx
/api/me/notifications,app/api/me/notifications/route.ts,public,orphan,0,
/api/me/notifications/[id]/read,app/api/me/notifications/[id]/read/route.ts,public,orphan,0,
/api/me/purchases,app/api/me/purchases/route.ts,public,covered,1,app/me/compras/page.tsx
/api/me/push-tokens,app/api/me/push-tokens/route.ts,public,orphan,0,
/api/me/reservas,app/api/me/reservas/route.ts,public,covered,1,app/me/reservas/page.tsx
/api/me/reservas/[id],app/api/me/reservas/[id]/route.ts,public,covered,1,app/[username]/_components/ReservasBookingClient.tsx
/api/me/reservas/[id]/calendar.ics,app/api/me/reservas/[id]/calendar.ics/route.ts,public,orphan,0,
/api/me/reservas/[id]/cancel,app/api/me/reservas/[id]/cancel/route.ts,public,covered,2,app/[username]/_components/ReservasBookingClient.tsx; app/me/reservas/page.tsx
/api/me/reservas/[id]/review,app/api/me/reservas/[id]/review/route.ts,public,covered,1,app/me/reservas/page.tsx
/api/me/settings/delete,app/api/me/settings/delete/route.ts,public,covered,1,app/me/settings/page.tsx
/api/me/settings/delete/cancel,app/api/me/settings/delete/cancel/route.ts,public,orphan,0,
/api/me/settings/email,app/api/me/settings/email/route.ts,public,covered,1,app/me/settings/page.tsx
/api/me/settings/save,app/api/me/settings/save/route.ts,public,covered,1,app/me/settings/page.tsx
/api/me/store,app/api/me/store/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/bundles,app/api/me/store/bundles/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/bundles/[id],app/api/me/store/bundles/[id]/route.ts,public,orphan,0,
/api/me/store/bundles/[id]/items,app/api/me/store/bundles/[id]/items/route.ts,public,orphan,0,
/api/me/store/bundles/[id]/items/[itemId],app/api/me/store/bundles/[id]/items/[itemId]/route.ts,public,orphan,0,
/api/me/store/categories,app/api/me/store/categories/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/categories/[id],app/api/me/store/categories/[id]/route.ts,public,orphan,0,
/api/me/store/orders,app/api/me/store/orders/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/orders/[orderId],app/api/me/store/orders/[orderId]/route.ts,public,orphan,0,
/api/me/store/orders/[orderId]/shipments,app/api/me/store/orders/[orderId]/shipments/route.ts,public,orphan,0,
/api/me/store/overview,app/api/me/store/overview/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/products,app/api/me/store/products/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/products/[id],app/api/me/store/products/[id]/route.ts,public,orphan,0,
/api/me/store/products/[id]/digital-assets,app/api/me/store/products/[id]/digital-assets/route.ts,public,orphan,0,
/api/me/store/products/[id]/digital-assets/[assetId],app/api/me/store/products/[id]/digital-assets/[assetId]/route.ts,public,orphan,0,
/api/me/store/products/[id]/images,app/api/me/store/products/[id]/images/route.ts,public,orphan,0,
/api/me/store/products/[id]/images/[imageId],app/api/me/store/products/[id]/images/[imageId]/route.ts,public,orphan,0,
/api/me/store/products/[id]/options,app/api/me/store/products/[id]/options/route.ts,public,orphan,0,
/api/me/store/products/[id]/options/[optionId],app/api/me/store/products/[id]/options/[optionId]/route.ts,public,orphan,0,
/api/me/store/products/[id]/options/[optionId]/values,app/api/me/store/products/[id]/options/[optionId]/values/route.ts,public,orphan,0,
/api/me/store/products/[id]/options/[optionId]/values/[valueId],app/api/me/store/products/[id]/options/[optionId]/values/[valueId]/route.ts,public,orphan,0,
/api/me/store/products/[id]/variants,app/api/me/store/products/[id]/variants/route.ts,public,orphan,0,
/api/me/store/products/[id]/variants/[variantId],app/api/me/store/products/[id]/variants/[variantId]/route.ts,public,orphan,0,
/api/me/store/purchases,app/api/me/store/purchases/route.ts,public,covered,2,app/me/carteira/WalletHubClient.tsx; app/me/compras/loja/page.tsx
/api/me/store/purchases/[orderId],app/api/me/store/purchases/[orderId]/route.ts,public,covered,1,app/me/compras/loja/[orderId]/page.tsx
/api/me/store/purchases/[orderId]/invoice,app/api/me/store/purchases/[orderId]/invoice/route.ts,public,covered,2,app/me/compras/loja/[orderId]/page.tsx; app/me/compras/loja/page.tsx
/api/me/store/purchases/[orderId]/receipt,app/api/me/store/purchases/[orderId]/receipt/route.ts,public,covered,2,app/me/compras/loja/[orderId]/page.tsx; app/me/compras/loja/page.tsx
/api/me/store/shipments/[shipmentId],app/api/me/store/shipments/[shipmentId]/route.ts,public,orphan,0,
/api/me/store/shipping/methods/[methodId],app/api/me/store/shipping/methods/[methodId]/route.ts,public,orphan,0,
/api/me/store/shipping/methods/[methodId]/tiers,app/api/me/store/shipping/methods/[methodId]/tiers/route.ts,public,orphan,0,
/api/me/store/shipping/settings,app/api/me/store/shipping/settings/route.ts,public,covered,1,app/me/loja/page.tsx
/api/me/store/shipping/tiers/[tierId],app/api/me/store/shipping/tiers/[tierId]/route.ts,public,orphan,0,
/api/me/store/shipping/zones,app/api/me/store/shipping/zones/route.ts,public,orphan,0,
/api/me/store/shipping/zones/[zoneId],app/api/me/store/shipping/zones/[zoneId]/route.ts,public,orphan,0,
/api/me/store/shipping/zones/[zoneId]/methods,app/api/me/store/shipping/zones/[zoneId]/methods/route.ts,public,orphan,0,
/api/me/wallet,app/api/me/wallet/route.ts,public,covered,2,app/components/checkout/Step3Sucesso.tsx; app/components/wallet/useWallet.ts
/api/me/wallet/[entitlementId],app/api/me/wallet/[entitlementId]/route.ts,public,covered,1,app/me/bilhetes/[id]/TicketDetailClient.tsx
/api/notifications,app/api/notifications/route.ts,public,covered,4,app/components/Navbar.tsx; app/components/mobile/MobileTopBar.tsx; app/components/notifications/NotificationBell.tsx; app/social/page.tsx
/api/notifications/mark-click,app/api/notifications/mark-click/route.ts,public,covered,2,app/components/notifications/NotificationBell.tsx; app/social/page.tsx
/api/notifications/mark-read,app/api/notifications/mark-read/route.ts,public,covered,2,app/components/notifications/NotificationBell.tsx; app/social/page.tsx
/api/notifications/prefs,app/api/notifications/prefs/route.ts,public,covered,1,app/me/settings/page.tsx
/api/organizacao/agenda,app/api/organizacao/agenda/route.ts,public,orphan,0,
